SPECTRA INDEX,SPECTRA FILE NAME,SDSS SNR,CALCULATED SNR
14,spec-1793-53883-0520-dered.dr16,24.2946,9.75145
26,spec-8221-58198-0399-dered.dr16,24.2946,9.3199
29,spec-0885-52379-0063-dered.dr16,24.2946,8.3487
31,spec-1272-52989-0064-dered.dr16,24.2946,8.81971
40,spec-0790-52441-0583-dered.dr16,24.2946,7.11373
44,spec-6138-56236-0746-dered.dr16,24.2946,7.6183
47,spec-5745-56050-0657-dered.dr16,24.2946,5.19624
73,spec-1582-52939-0558-dered.dr16,24.2946,2.61125
75,spec-2785-54537-0175-dered.dr16,24.2946,9.06418
90,spec-1713-53827-0211-dered.dr16,24.2946,9.37083
