SPECTRA INDEX,SPECTRA FILE NAME,NORM SPECTRA FILE NAME,REDSHIFT,CALCULATED SNR,SDSS SNR,BF,CF
39,spec-7609-56959-0772-dered.dr16,spec-7609-56959-0772norm.dr16,2.458,14.92988,16.72404,172.79707508023625,-0.33058709834567207
40,spec-5179-55957-0836-dered.dr16,spec-5179-55957-0836norm.dr16,2.495,18.8045,18.2289,370.44939922334765,-0.3900208771444021
41,spec-5144-55829-0475-dered.dr16,spec-5144-55829-0475norm.dr16,2.548,24.11456,20.90533,21249977.673145793,-1.6295550077086567
42,spec-6035-56076-0813-dered.dr16,spec-6035-56076-0813norm.dr16,2.606,13.60413,11.05625,24742854.430813737,-1.7970445351272994
43,spec-5438-56002-0100-dered.dr16,spec-5438-56002-0100norm.dr16,2.668,16.3383,12.54737,592397847.6253642,-2.1111569061616944
44,spec-5338-56002-0726-dered.dr16,spec-5338-56002-0726norm.dr16,2.687,17.1534,16.79401,5720976.68762443,-1.5508865348609893
45,spec-5483-56017-0061-dered.dr16,spec-5483-56017-0061norm.dr16,2.809,18.65701,19.04989,32.67760943155082,-0.1181514720672313
46,spec-6754-56414-0561-dered.dr16,spec-6754-56414-0561norm.dr16,2.81,14.9462,12.84301,1822380.846137718,-1.4240902875053423
47,spec-5189-56074-0414-dered.dr16,spec-5189-56074-0414norm.dr16,2.931,30.48948,29.44983,187.78905931343098,-0.22333184607569448
48,spec-8875-57779-0073-dered.dr16,spec-8875-57779-0073norm.dr16,2.939,13.67692,11.43047,6428125.171460435,-1.6123817302432033
49,spec-5127-55889-0820-dered.dr16,spec-5127-55889-0820norm.dr16,2.981,12.0242,10.52719,123.61139678793953,-0.35799055753377157
50,spec-8059-57895-0912-dered.dr16,spec-8059-57895-0912norm.dr16,2.995,16.87417,16.08408,880.8117933285757,-0.5377839700500834
51,spec-5374-55947-0608-dered.dr16,spec-5374-55947-0608norm.dr16,3.07,22.93383,19.99345,50414.98010451556,-1.0174595112496037
52,spec-6412-56358-0454-dered.dr16,spec-6412-56358-0454norm.dr16,3.094,12.16403,10.00906,152829338.38046488,-1.9824878638104517
53,spec-4663-55893-0854-dered.dr16,spec-4663-55893-0854norm.dr16,3.106,15.94493,13.52017,35025.37268413148,-0.9397143073504949
54,spec-6402-56334-0966-dered.dr16,spec-6402-56334-0966norm.dr16,3.128,21.62929,18.40741,7013680.244540469,-1.548294885888048
55,spec-6456-56339-0894-dered.dr16,spec-6456-56339-0894norm.dr16,3.194,19.93668,18.74569,20266.910985206487,-0.8536119287463699
56,spec-6405-56342-0814-dered.dr16,spec-6405-56342-0814norm.dr16,3.195,19.9061,21.08894,73.99295517125863,-0.2000177608272773
57,spec-5288-55865-0958-dered.dr16,spec-5288-55865-0958norm.dr16,3.204,20.35903,16.79357,3361347.573109773,-1.4540918538645564
58,spec-5868-56045-0372-dered.dr16,spec-5868-56045-0372norm.dr16,3.403,18.11065,17.29355,4927594.9171576295,-1.4648399795709874
59,spec-7622-56987-0113-dered.dr16,spec-7622-56987-0113norm.dr16,3.45,21.71429,20.37095,83068.34003606351,-1.0148191694517599
